data,squadra_casa,squadra_trasferta,gol_casa,gol_trasferta,gol_casa_1T,gol_trasferta_1T,tiri_casa,tiri_trasferta,tiri_porta_casa,tiri_porta_trasferta,corner_casa,corner_trasferta,falli_casa,falli_trasferta,gialli_casa,gialli_trasferta,rossi_casa,rossi_trasferta,stagione
2024-11-23,Cartagena,Almeria,1,2,1,1,7,18,4,3,5,3,26,14,2,1,0,0,2425
2024-11-23,Granada,Cadiz,0,0,0,0,22,7,3,3,5,4,16,15,4,3,0,0,2425
2024-11-23,Burgos,Eibar,1,0,0,0,15,5,6,1,5,5,16,12,2,4,0,0,2425
2024-11-23,Cordoba,Zaragoza,2,2,1,1,21,7,8,4,10,2,18,19,5,4,0,0,2425
2024-11-23,Malaga,Santander,0,0,0,0,19,11,6,7,3,2,20,12,2,3,0,0,2425
2024-11-24,Elche,Oviedo,4,0,2,0,23,4,10,1,6,0,12,11,3,4,0,0,2425
2024-11-24,Huesca,Castellon,1,1,0,0,10,22,3,9,4,8,11,12,3,3,0,0,2425
2024-11-24,La Coruna,Sp Gijon,1,1,0,0,4,14,3,6,1,8,6,9,1,1,0,0,2425
2024-11-24,Albacete,Tenerife,2,1,1,0,14,9,3,2,5,4,9,9,2,1,0,0,2425
2024-11-24,Mirandes,Eldense,1,0,0,0,9,10,3,2,4,5,13,18,3,2,0,0,2425
2024-11-26,Almeria,Cordoba,4,0,0,0,10,10,7,3,2,3,14,23,0,3,0,0,2425
2024-11-27,Castellon,Ferrol,0,0,0,0,17,14,8,5,8,4,15,10,0,1,0,0,2425
2024-11-27,Levante,Malaga,4,2,2,2,23,13,8,4,7,3,13,13,2,1,0,0,2425
2024-11-29,Oviedo,Huesca,0,3,0,1,19,13,4,9,3,4,14,15,4,3,0,0,2425
2024-11-30,Tenerife,Elche,1,1,1,0,13,7,2,2,2,6,22,22,5,6,1,1,2425
2024-11-30,Almeria,Granada,2,1,0,1,16,8,8,5,7,1,19,15,2,2,0,0,2425
2024-11-30,Zaragoza,Albacete,0,1,0,0,19,7,2,2,6,1,19,9,4,1,0,0,2425
2024-11-30,Cadiz,La Coruna,2,4,1,1,11,13,5,6,5,3,21,9,5,4,0,1,2425
2024-11-30,Santander,Mirandes,0,1,0,0,19,10,2,4,11,3,11,23,2,4,0,1,2425
2024-12-01,Sp Gijon,Cordoba,2,0,1,0,8,11,5,4,5,7,15,13,1,2,0,0,2425
2024-12-01,Levante,Burgos,3,1,1,1,9,8,3,3,3,0,10,11,0,0,0,0,2425
2024-12-01,Eldense,Ferrol,0,0,0,0,13,5,2,1,6,2,12,11,2,4,0,0,2425
2024-12-01,Castellon,Malaga,2,0,1,0,14,7,8,2,3,3,11,20,2,3,0,0,2425
2024-12-02,Eibar,Cartagena,1,0,1,0,18,6,7,2,4,1,9,11,0,1,0,0,2425
2024-12-06,Mirandes,Levante,2,1,0,0,8,14,3,2,2,4,10,25,3,3,0,0,2425
2024-12-07,Huesca,Eibar,2,1,1,1,7,14,5,7,4,8,10,12,3,3,0,0,2425
2024-12-07,Elche,Cadiz,2,1,0,1,15,9,6,4,4,1,12,15,2,4,0,1,2425
2024-12-07,Granada,Santander,3,0,1,0,14,10,6,3,2,4,25,9,6,4,0,0,2425
