data,squadra_casa,squadra_trasferta,gol_casa,gol_trasferta,gol_casa_1T,gol_trasferta_1T,tiri_casa,tiri_trasferta,tiri_porta_casa,tiri_porta_trasferta,corner_casa,corner_trasferta,falli_casa,falli_trasferta,gialli_casa,gialli_trasferta,rossi_casa,rossi_trasferta,stagione_calc
2021-10-17,Vallecano,Elche,2,1,1,1,10,7,4,3,6,2,16,11,2,2,0,0,2122
2021-10-17,Celta,Sevilla,0,1,0,0,14,8,3,2,5,4,13,9,2,3,0,0,2122
2021-10-17,Villarreal,Osasuna,1,2,0,1,11,6,6,2,4,4,6,14,1,5,0,0,2122
2021-10-17,Barcelona,Valencia,3,1,2,1,12,9,5,3,9,3,16,13,2,3,0,0,2122
2021-10-18,Alaves,Betis,0,1,0,0,14,19,2,4,7,7,8,11,1,1,0,0,2122
2021-10-18,Espanol,Cadiz,2,0,1,0,14,13,6,2,7,9,8,10,1,0,0,0,2122
2021-10-22,Osasuna,Granada,1,1,1,0,17,9,6,4,4,1,15,11,1,3,1,0,2122
2021-10-23,Elche,Espanol,2,2,1,0,12,20,7,7,3,7,15,9,3,1,0,0,2122
2021-10-23,Ath Bilbao,Villarreal,2,1,1,1,14,11,7,3,9,2,7,12,0,3,0,0,2122
2021-10-23,Valencia,Mallorca,2,2,0,2,20,9,6,4,5,0,15,19,4,5,0,2,2122
2021-10-23,Cadiz,Alaves,0,2,0,1,23,8,4,4,14,3,11,14,0,2,0,0,2122
2021-10-24,Betis,Vallecano,3,2,2,1,11,14,5,3,4,4,12,12,1,2,0,0,2122
2021-10-24,Ath Madrid,Sociedad,2,2,0,1,17,8,4,4,4,3,14,14,1,3,0,0,2122
2021-10-24,Sevilla,Levante,5,3,3,1,18,12,11,7,10,3,13,6,1,2,0,0,2122
2021-10-24,Barcelona,Real Madrid,1,2,0,1,12,10,2,5,7,4,17,13,1,1,0,0,2122
2021-10-25,Getafe,Celta,0,3,0,0,11,16,2,8,2,7,15,11,2,2,2,0,2122
2021-10-26,Alaves,Elche,1,0,0,0,16,4,5,1,4,7,13,9,1,1,0,0,2122
2021-10-26,Espanol,Ath Bilbao,1,1,1,0,14,23,3,7,8,12,7,12,1,2,1,0,2122
2021-10-26,Villarreal,Cadiz,3,3,1,2,14,9,5,4,8,2,13,9,3,6,0,0,2122
2021-10-27,Mallorca,Sevilla,1,1,1,0,11,10,4,3,4,2,16,14,3,6,1,0,2122
2021-10-27,Vallecano,Barcelona,1,0,1,0,13,16,3,1,3,7,17,12,2,2,0,0,2122
2021-10-27,Betis,Valencia,4,1,2,1,14,10,9,4,4,7,14,19,2,5,0,0,2122
2021-10-27,Real Madrid,Osasuna,0,0,0,0,17,7,3,0,11,3,12,10,1,1,0,0,2122
2021-10-28,Levante,Ath Madrid,2,2,1,1,10,7,3,3,5,2,15,11,3,5,1,0,2122
2021-10-28,Celta,Sociedad,0,2,0,0,14,11,6,4,7,6,12,11,1,0,0,0,2122
2021-10-28,Granada,Getafe,1,1,0,1,18,6,3,4,5,0,10,15,1,4,0,0,2122
2021-10-30,Elche,Real Madrid,1,2,0,1,13,17,4,5,5,4,11,13,2,0,1,0,2122
2021-10-30,Sevilla,Osasuna,2,0,1,0,16,10,4,3,4,5,17,10,2,2,0,0,2122
2021-10-30,Valencia,Villarreal,2,0,1,0,9,11,3,1,7,6,19,17,2,4,0,0,2122
2021-10-30,Barcelona,Alaves,1,1,0,0,16,3,5,2,9,0,11,11,0,2,0,0,2122
2021-10-31,Getafe,Espanol,2,1,1,1,12,10,7,3,6,11,18,11,7,4,0,0,2122
2021-10-31,Cadiz,Mallorca,1,1,0,1,13,11,2,5,6,5,14,16,3,7,0,2,2122
2021-10-31,Ath Madrid,Betis,3,0,1,0,18,8,9,1,13,0,11,12,0,0,0,0,2122
2021-10-31,Sociedad,Ath Bilbao,1,1,0,0,8,11,3,5,2,7,21,14,4,3,0,1,2122
2021-11-01,Levante,Granada,0,3,0,2,12,12,3,6,3,5,14,13,4,2,0,0,2122
2021-11-01,Vallecano,Celta,0,0,0,0,11,10,5,4,4,7,13,14,2,5,0,0,2122
2021-11-05,Ath Bilbao,Cadiz,0,1,0,1,15,8,5,4,5,1,14,19,2,1,0,0,2122
2021-11-06,Espanol,Granada,2,0,2,0,17,18,6,5,5,3,12,8,1,1,0,0,2122
2021-11-06,Celta,Barcelona,3,3,0,3,18,10,4,6,3,1,18,18,3,6,0,0,2122
2021-11-06,Alaves,Levante,2,1,0,1,10,12,3,7,1,3,21,17,3,3,0,0,2122
2021-11-06,Real Madrid,Vallecano,2,1,2,0,15,19,7,7,4,5,8,14,1,2,0,0,2122
