data,squadra_casa,squadra_trasferta,gol_casa,gol_trasferta,gol_casa_1T,gol_trasferta_1T,tiri_casa,tiri_trasferta,tiri_porta_casa,tiri_porta_trasferta,corner_casa,corner_trasferta,falli_casa,falli_trasferta,gialli_casa,gialli_trasferta,rossi_casa,rossi_trasferta,stagione_calc
2022-10-14,Schalke 04,Hoffenheim,0,3,0,2,14,18,2,7,4,5,12,8,2,2,0,0,2223
2022-10-15,RB Leipzig,Hertha,3,2,3,0,14,16,5,5,8,4,17,9,2,3,0,0,2223
2022-10-15,Wolfsburg,M'gladbach,2,2,1,1,16,10,4,5,7,6,13,11,3,3,0,0,2223
2022-10-15,Werder Bremen,Mainz,0,2,0,1,14,11,4,5,3,3,3,11,1,2,0,0,2223
2022-10-15,Stuttgart,Bochum,4,1,2,1,16,14,7,4,3,3,6,17,0,3,0,0,2223
2022-10-15,Ein Frankfurt,Leverkusen,5,1,1,0,20,5,11,2,7,1,10,9,0,4,0,1,2223
2022-10-16,FC Koln,Augsburg,3,2,0,1,14,7,6,3,5,3,11,15,2,4,0,0,2223
2022-10-16,Union Berlin,Dortmund,2,0,2,0,14,13,5,6,5,8,15,5,1,2,0,0,2223
2022-10-16,Bayern Munich,Freiburg,5,0,2,0,18,6,8,0,5,5,8,9,0,2,0,0,2223
2022-10-21,Mainz,FC Koln,5,0,3,0,15,6,7,2,5,4,13,14,1,5,0,1,2223
2022-10-22,M'gladbach,Ein Frankfurt,1,3,0,3,8,16,3,5,3,2,9,20,3,2,0,0,2223
2022-10-22,Leverkusen,Wolfsburg,2,2,1,1,13,9,5,3,3,3,19,5,3,1,0,0,2223
2022-10-22,Hoffenheim,Bayern Munich,0,2,0,2,7,23,3,10,7,5,12,8,3,2,0,0,2223
2022-10-22,Freiburg,Werder Bremen,2,0,0,0,25,10,7,2,6,2,14,12,2,2,0,1,2223
2022-10-22,Dortmund,Stuttgart,5,0,3,0,19,10,10,1,9,2,7,8,1,0,0,0,2223
2022-10-22,Augsburg,RB Leipzig,3,3,1,0,11,19,3,8,3,6,15,11,7,1,1,0,2223
2022-10-23,Bochum,Union Berlin,2,1,1,0,8,6,5,3,3,7,14,10,1,3,0,0,2223
2022-10-23,Hertha,Schalke 04,2,1,0,0,11,9,4,2,5,6,14,14,5,1,0,0,2223
2022-10-28,Werder Bremen,Hertha,1,0,0,0,15,9,4,1,4,5,14,11,2,3,0,0,2223
2022-10-29,Ein Frankfurt,Dortmund,1,2,1,1,20,8,8,2,4,3,15,11,5,5,0,0,2223
2022-10-29,Stuttgart,Augsburg,2,1,1,1,31,12,8,6,10,3,7,12,1,2,0,0,2223
2022-10-29,Wolfsburg,Bochum,4,0,2,0,22,10,7,3,7,2,7,17,1,1,0,0,2223
2022-10-29,Bayern Munich,Mainz,6,2,3,1,25,13,12,5,8,5,10,11,1,1,0,0,2223
2022-10-29,RB Leipzig,Leverkusen,2,0,1,0,10,4,6,1,3,3,9,7,3,3,0,0,2223
2022-10-30,Union Berlin,M'gladbach,2,1,0,1,14,7,5,3,6,5,17,6,3,2,0,0,2223
2022-10-30,Schalke 04,Freiburg,0,2,0,1,12,19,3,9,4,8,20,7,3,2,0,0,2223
2022-10-30,FC Koln,Hoffenheim,1,1,1,1,11,9,3,4,5,4,11,10,1,2,0,1,2223
2022-11-04,M'gladbach,Stuttgart,3,1,2,1,11,13,6,4,3,5,13,16,2,1,0,0,2223
2022-11-05,Mainz,Wolfsburg,0,3,0,1,16,10,3,3,9,4,15,6,1,1,0,0,2223
2022-11-05,Werder Bremen,Schalke 04,2,1,1,0,11,19,5,3,3,3,11,12,3,2,0,0,2223
2022-11-05,Hoffenheim,RB Leipzig,1,3,0,1,11,17,3,8,6,3,9,9,4,2,0,0,2223
2022-11-05,Hertha,Bayern Munich,2,3,2,3,7,14,5,4,2,7,13,9,0,0,0,0,2223
2022-11-05,Dortmund,Bochum,3,0,3,0,6,7,3,1,2,5,7,14,1,1,0,0,2223
2022-11-05,Augsburg,Ein Frankfurt,1,2,1,1,9,12,5,7,3,6,17,15,0,1,0,0,2223
2022-11-06,Leverkusen,Union Berlin,5,0,0,0,11,6,8,1,1,5,11,17,1,4,0,0,2223
2022-11-06,Freiburg,FC Koln,2,0,0,0,13,6,5,2,5,3,9,10,0,1,0,0,2223
2022-11-08,Wolfsburg,Dortmund,2,0,1,0,15,20,8,6,6,9,10,12,4,2,0,0,2223
2022-11-08,Bayern Munich,Werder Bremen,6,1,4,1,21,4,10,1,8,4,9,8,0,0,0,0,2223
2022-11-08,Bochum,M'gladbach,2,1,2,0,13,8,4,2,6,3,11,14,1,3,0,0,2223
2022-11-08,Stuttgart,Hertha,2,1,1,1,16,11,7,4,8,5,9,15,3,2,0,0,2223
2022-11-09,FC Koln,Leverkusen,1,2,1,0,17,10,7,3,6,1,9,7,1,2,0,0,2223
2022-11-09,Ein Frankfurt,Hoffenheim,4,2,3,1,15,12,8,3,4,5,9,22,0,3,0,0,2223
2022-11-09,RB Leipzig,Freiburg,3,1,0,0,18,4,8,2,6,2,9,21,1,4,0,0,2223
2022-11-09,Schalke 04,Mainz,1,0,1,0,13,11,4,1,1,6,16,17,3,1,0,0,2223
2022-11-09,Union Berlin,Augsburg,2,2,2,2,18,7,6,2,6,3,7,10,1,4,0,0,2223
2022-11-11,M'gladbach,Dortmund,4,2,3,2,11,20,6,10,2,9,12,12,1,2,0,0,2223
2022-11-12,Schalke 04,Bayern Munich,0,2,0,1,6,22,2,6,4,5,7,4,0,0,0,0,2223
2022-11-12,Werder Bremen,RB Leipzig,1,2,0,1,7,14,5,3,0,4,14,8,1,2,0,0,2223
2022-11-12,Leverkusen,Stuttgart,2,0,1,0,11,7,3,1,4,2,11,10,2,3,0,0,2223
2022-11-12,Hertha,FC Koln,2,0,1,0,17,10,8,2,10,5,15,10,3,1,0,0,2223
2022-11-12,Augsburg,Bochum,0,1,0,0,19,11,5,4,6,2,12,9,1,1,0,0,2223
2022-11-12,Hoffenheim,Wolfsburg,1,2,1,1,22,6,8,3,7,1,15,11,0,3,0,0,2223
2022-11-13,Mainz,Ein Frankfurt,1,1,1,0,19,10,6,3,5,2,12,8,2,2,0,0,2223
2022-11-13,Freiburg,Union Berlin,4,1,4,0,7,4,5,2,2,1,13,9,0,1,0,1,2223
2023-01-20,RB Leipzig,Bayern Munich,1,1,0,1,10,7,3,2,3,2,17,12,2,3,0,0,2223
2023-01-21,Stuttgart,Mainz,1,1,1,1,16,12,4,2,3,5,15,17,1,3,0,0,2223
2023-01-21,Bochum,Hertha,3,1,2,0,10,10,3,2,1,6,13,13,1,1,0,0,2223
2023-01-21,Ein Frankfurt,Schalke 04,3,0,1,0,11,18,3,4,5,4,14,10,2,3,0,0,2223
2023-01-21,Union Berlin,Hoffenheim,3,1,0,1,23,10,5,5,9,4,11,13,2,1,0,0,2223
2023-01-21,Wolfsburg,Freiburg,6,0,3,0,13,9,11,1,0,5,11,12,1,2,0,0,2223
2023-01-21,FC Koln,Werder Bremen,7,1,5,1,15,4,7,2,2,2,10,14,0,0,0,0,2223
2023-01-22,Dortmund,Augsburg,4,3,2,2,27,14,10,4,7,3,6,9,1,4,0,0,2223
2023-01-22,M'gladbach,Leverkusen,2,3,0,2,15,13,8,5,2,3,12,14,3,2,0,0,2223
2023-01-24,Bayern Munich,FC Koln,1,1,0,1,22,2,7,1,9,4,7,10,0,1,0,0,2223
2023-01-24,Hertha,Wolfsburg,0,5,0,3,8,15,2,7,6,4,20,13,2,0,0,0,2223
2023-01-24,Schalke 04,RB Leipzig,1,6,0,4,9,21,1,14,1,6,16,13,1,1,0,0,2223
2023-01-24,Hoffenheim,Stuttgart,2,2,1,1,13,8,5,4,6,4,12,4,1,3,0,1,2223
2023-01-25,Leverkusen,Bochum,2,0,1,0,11,9,4,2,3,4,15,14,2,4,0,0,2223
2023-01-25,Freiburg,Ein Frankfurt,1,1,0,1,12,4,5,2,4,3,15,15,3,3,0,0,2223
2023-01-25,Werder Bremen,Union Berlin,1,2,1,1,8,11,3,5,5,7,11,17,0,0,0,0,2223
2023-01-25,Mainz,Dortmund,1,2,1,1,12,12,4,6,2,3,15,7,2,0,0,0,2223
2023-01-25,Augsburg,M'gladbach,1,0,0,0,14,7,4,2,3,2,15,15,1,2,0,0,2223
2023-01-27,RB Leipzig,Stuttgart,2,1,1,0,9,10,4,3,3,6,8,6,0,0,0,0,2223
2023-01-28,Freiburg,Augsburg,3,1,2,1,15,16,9,4,3,7,14,9,3,3,0,0,2223
2023-01-28,Hertha,Union Berlin,0,2,0,1,10,7,3,3,3,2,12,13,1,2,0,0,2223
2023-01-28,Hoffenheim,M'gladbach,1,4,0,2,15,10,5,5,4,3,23,10,2,1,0,0,2223
2023-01-28,Mainz,Bochum,5,2,3,0,14,14,7,4,3,2,17,11,0,1,0,0,2223
2023-01-28,Werder Bremen,Wolfsburg,2,1,1,0,14,7,5,3,2,6,16,12,3,3,0,0,2223
2023-01-28,Bayern Munich,Ein Frankfurt,1,1,1,0,14,7,6,1,7,6,6,4,3,1,0,0,2223
2023-01-29,Schalke 04,FC Koln,0,0,0,0,15,7,2,0,7,7,13,16,3,4,0,0,2223
2023-01-29,Leverkusen,Dortmund,0,2,0,1,20,6,7,2,8,4,13,20,2,4,0,0,2223
2023-02-03,Augsburg,Leverkusen,1,0,0,0,10,12,5,4,2,1,14,8,3,2,0,0,2223
2023-02-04,Bochum,Hoffenheim,5,2,3,0,17,10,11,4,6,6,13,15,2,3,0,0,2223
2023-02-04,Dortmund,Freiburg,5,1,1,1,24,6,8,3,14,0,13,14,3,4,0,1,2223
2023-02-04,Ein Frankfurt,Hertha,3,0,2,0,10,13,4,3,7,1,12,10,1,2,0,0,2223
2023-02-04,FC Koln,RB Leipzig,0,0,0,0,9,7,0,2,5,1,10,15,3,4,0,0,2223
2023-02-04,Union Berlin,Mainz,2,1,1,0,9,9,5,2,5,5,12,10,1,1,0,0,2223
2023-02-04,M'gladbach,Schalke 04,0,0,0,0,17,18,4,5,9,5,9,15,2,3,0,0,2223
2023-02-05,Wolfsburg,Bayern Munich,2,4,1,3,19,9,5,4,7,4,10,9,2,6,0,1,2223
2023-02-05,Stuttgart,Werder Bremen,0,2,0,0,16,9,5,4,8,4,8,17,2,5,0,0,2223
2023-02-10,Schalke 04,Wolfsburg,0,0,0,0,17,8,5,2,9,3,10,20,1,4,0,0,2223
2023-02-11,Bayern Munich,Bochum,3,0,1,0,25,7,12,1,6,3,10,12,1,1,0,0,2223
2023-02-11,Freiburg,Stuttgart,2,1,0,1,9,14,5,3,4,3,13,10,3,3,0,0,2223
2023-02-11,Hoffenheim,Leverkusen,1,3,0,1,11,12,6,5,5,8,15,9,3,1,0,0,2223
2023-02-11,Mainz,Augsburg,3,1,2,1,13,11,7,3,4,12,12,6,1,1,0,0,2223
2023-02-11,Werder Bremen,Dortmund,0,2,0,0,8,17,3,9,3,7,7,7,1,0,0,0,2223
2023-02-11,RB Leipzig,Union Berlin,1,2,1,0,9,6,1,5,3,4,15,13,4,4,0,0,2223
2023-02-12,FC Koln,Ein Frankfurt,3,0,0,0,9,7,4,1,3,9,15,11,3,2,0,0,2223
2023-02-12,Hertha,M'gladbach,4,1,1,1,17,7,7,3,4,6,12,11,1,1,0,0,2223
2023-02-17,Augsburg,Hoffenheim,1,0,0,0,16,8,3,2,6,1,13,14,3,3,0,0,2223
2023-02-18,Bochum,Freiburg,0,2,0,1,15,15,6,5,5,5,15,10,4,2,1,0,2223
