data,squadra_casa,squadra_trasferta,gol_casa,gol_trasferta,gol_casa_1T,gol_trasferta_1T,tiri_casa,tiri_trasferta,tiri_porta_casa,tiri_porta_trasferta,corner_casa,corner_trasferta,falli_casa,falli_trasferta,gialli_casa,gialli_trasferta,rossi_casa,rossi_trasferta,stagione
2024-11-02,Dortmund,RB Leipzig,2,1,1,1,19,7,7,3,4,0,11,12,3,4,0,0,2425
2024-11-03,Freiburg,Mainz,0,0,0,0,10,9,2,2,8,4,9,12,1,2,0,0,2425
2024-11-03,M'gladbach,Werder Bremen,4,1,3,0,16,15,8,5,7,7,12,10,1,4,0,1,2425
2024-11-08,Union Berlin,Freiburg,0,0,0,0,12,14,6,4,4,1,11,8,2,0,0,0,2425
2024-11-09,Bochum,Leverkusen,1,1,0,1,15,11,3,3,6,4,10,9,0,1,0,0,2425
2024-11-09,Mainz,Dortmund,3,1,2,1,13,2,9,1,8,0,17,5,3,1,0,1,2425
2024-11-09,St Pauli,Bayern Munich,0,1,0,1,3,13,0,6,5,10,10,7,2,2,0,0,2425
2024-11-09,Werder Bremen,Holstein Kiel,2,1,1,0,16,12,5,5,6,3,10,19,3,2,0,0,2425
2024-11-09,RB Leipzig,M'gladbach,0,0,0,0,11,14,4,4,8,4,14,7,2,2,0,0,2425
2024-11-10,Augsburg,Hoffenheim,0,0,0,0,16,11,4,2,10,6,16,7,2,3,0,0,2425
2024-11-10,Stuttgart,Ein Frankfurt,2,3,0,1,22,8,11,5,8,3,10,15,2,3,0,0,2425
2024-11-10,Heidenheim,Wolfsburg,1,3,0,2,19,13,4,6,5,5,9,23,1,6,0,0,2425
2024-11-22,Bayern Munich,Augsburg,3,0,0,0,33,2,14,1,8,0,9,9,0,2,0,1,2425
2024-11-23,Dortmund,Freiburg,4,0,2,0,19,7,7,3,7,0,11,4,1,2,0,2,2425
2024-11-23,Hoffenheim,RB Leipzig,4,3,1,2,20,14,7,6,4,3,14,12,2,1,0,0,2425
2024-11-23,Leverkusen,Heidenheim,5,2,2,2,20,6,10,3,6,0,8,11,0,0,0,0,2425
2024-11-23,Stuttgart,Bochum,2,0,0,0,15,9,5,2,7,4,7,16,2,3,0,0,2425
2024-11-23,Wolfsburg,Union Berlin,1,0,0,0,10,11,5,4,8,5,7,15,1,2,0,0,2425
2024-11-23,Ein Frankfurt,Werder Bremen,1,0,1,0,15,8,5,1,5,6,15,9,2,2,0,0,2425
2024-11-24,Holstein Kiel,Mainz,0,3,0,2,7,18,2,7,2,6,11,7,1,0,0,0,2425
2024-11-24,M'gladbach,St Pauli,2,0,2,0,15,15,4,3,5,4,7,8,1,0,0,0,2425
2024-11-29,St Pauli,Holstein Kiel,3,1,1,0,11,10,4,3,4,4,10,11,2,5,0,0,2425
2024-11-30,Augsburg,Bochum,1,0,1,0,16,7,4,1,6,1,8,22,3,3,0,0,2425
2024-11-30,Freiburg,M'gladbach,3,1,1,0,17,15,7,4,4,6,5,14,1,1,0,0,2425
2024-11-30,RB Leipzig,Wolfsburg,1,5,0,3,9,13,4,8,7,3,11,6,2,1,0,0,2425
2024-11-30,Union Berlin,Leverkusen,1,2,1,1,8,8,2,3,1,3,18,11,4,2,0,0,2425
2024-11-30,Werder Bremen,Stuttgart,2,2,1,1,20,10,6,4,11,2,8,13,1,1,0,0,2425
2024-11-30,Dortmund,Bayern Munich,1,1,1,0,7,14,2,5,2,3,11,7,2,2,0,0,2425
2024-12-01,Mainz,Hoffenheim,2,0,2,0,18,10,8,2,8,3,13,12,1,3,0,0,2425
2024-12-01,Heidenheim,Ein Frankfurt,0,4,0,1,8,14,1,8,6,5,7,9,0,2,0,0,2425
2024-12-06,Stuttgart,Union Berlin,3,2,0,1,7,14,5,3,1,6,14,19,1,6,0,0,2425
2024-12-07,Bayern Munich,Heidenheim,4,2,1,0,21,2,10,2,8,0,4,5,1,0,0,0,2425
2024-12-07,Bochum,Werder Bremen,0,1,0,0,12,9,2,1,9,5,12,10,1,1,0,0,2425
2024-12-07,Ein Frankfurt,Augsburg,2,2,0,0,16,8,4,3,4,0,17,9,2,2,0,0,2425
2024-12-07,Holstein Kiel,RB Leipzig,0,2,0,1,17,9,5,5,6,1,11,13,4,3,0,0,2425
2024-12-07,Leverkusen,St Pauli,2,1,2,0,6,12,2,4,7,4,8,10,1,3,0,0,2425
2024-12-07,M'gladbach,Dortmund,1,1,0,0,9,16,3,3,7,4,16,11,3,2,1,0,2425
2024-12-08,Wolfsburg,Mainz,4,3,1,2,10,12,5,5,3,5,10,15,3,4,0,0,2425
2024-12-08,Hoffenheim,Freiburg,1,1,0,0,15,11,5,4,6,1,10,5,1,1,0,0,2425
2024-12-13,Freiburg,Wolfsburg,3,2,1,0,18,20,9,5,5,6,11,3,4,1,0,0,2425
2024-12-14,Augsburg,Leverkusen,0,2,0,2,8,14,4,3,4,9,12,5,3,0,0,0,2425
2024-12-14,Mainz,Bayern Munich,2,1,1,0,8,13,4,1,3,2,21,12,3,2,0,0,2425
2024-12-14,M'gladbach,Holstein Kiel,4,1,3,1,15,11,6,3,5,2,10,14,1,1,0,0,2425
2024-12-14,Union Berlin,Bochum,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2425
2024-12-14,St Pauli,Werder Bremen,0,2,0,1,15,8,4,4,4,5,10,9,2,3,0,0,2425
2024-12-15,Heidenheim,Stuttgart,1,3,1,2,9,18,2,7,9,6,25,13,4,3,0,0,2425
2024-12-15,Dortmund,Hoffenheim,1,1,0,0,6,12,2,1,3,9,9,10,5,2,0,0,2425
2024-12-15,RB Leipzig,Ein Frankfurt,2,1,1,1,19,16,9,3,6,7,15,10,1,3,0,0,2425
2024-12-20,Bayern Munich,RB Leipzig,5,1,3,1,22,4,9,1,8,1,9,10,5,2,0,0,2425
2024-12-21,Ein Frankfurt,Mainz,1,3,0,2,34,9,9,3,17,2,10,10,1,1,0,1,2425
2024-12-21,Hoffenheim,M'gladbach,1,2,0,1,18,5,8,3,8,4,14,6,0,0,0,0,2425
2024-12-21,Holstein Kiel,Augsburg,5,1,4,1,8,17,6,4,3,8,11,13,0,4,0,0,2425
2024-12-21,Stuttgart,St Pauli,0,1,0,1,25,11,5,5,9,1,10,11,2,2,0,0,2425
2024-12-21,Werder Bremen,Union Berlin,4,1,3,1,11,16,6,4,4,9,9,12,2,2,0,0,2425
2024-12-21,Leverkusen,Freiburg,5,1,1,0,20,8,12,2,4,2,8,9,1,2,0,0,2425
2024-12-22,Bochum,Heidenheim,2,0,2,0,14,10,4,2,5,2,18,15,2,7,0,0,2425
2024-12-22,Wolfsburg,Dortmund,1,3,0,3,14,12,5,4,10,4,8,8,3,2,0,1,2425
2025-01-10,Dortmund,Leverkusen,2,3,1,3,12,7,5,5,6,1,8,6,1,2,0,0,2425
2025-01-11,Freiburg,Holstein Kiel,3,2,2,0,14,14,5,7,7,1,9,12,2,3,0,0,2425
2025-01-11,Heidenheim,Union Berlin,2,0,1,0,16,10,9,6,5,4,8,10,0,1,0,1,2425
2025-01-11,Hoffenheim,Wolfsburg,0,1,0,1,15,12,2,3,4,8,15,14,1,2,0,0,2425
2025-01-11,Mainz,Bochum,2,0,1,0,10,11,5,2,5,6,6,16,0,2,0,0,2425
2025-01-11,St Pauli,Ein Frankfurt,0,1,0,1,18,14,4,6,3,3,8,7,0,3,0,0,2425
2025-01-11,M'gladbach,Bayern Munich,0,1,0,0,5,23,0,10,4,10,10,7,3,1,0,0,2425
2025-01-12,RB Leipzig,Werder Bremen,4,2,2,1,18,7,7,2,4,1,7,12,1,1,0,0,2425
2025-01-12,Augsburg,Stuttgart,0,1,0,0,8,13,2,5,3,9,11,14,5,1,0,0,2425
2025-01-14,Holstein Kiel,Dortmund,4,2,3,0,11,16,7,4,1,9,13,11,2,2,1,0,2425
2025-01-14,Ein Frankfurt,Freiburg,4,1,1,1,23,7,8,5,8,1,8,11,1,1,0,0,2425
2025-01-14,Leverkusen,Mainz,1,0,0,0,20,7,9,4,8,4,4,14,2,3,0,0,2425
2025-01-14,Wolfsburg,M'gladbach,5,1,1,0,16,9,5,5,4,7,10,7,1,0,0,0,2425
2025-01-15,Bochum,St Pauli,1,0,0,0,13,12,5,1,6,7,7,15,1,3,0,1,2425
2025-01-15,Bayern Munich,Hoffenheim,5,0,3,0,25,5,10,2,13,1,8,10,1,1,0,0,2425
2025-01-15,Stuttgart,RB Leipzig,2,1,0,1,14,6,6,3,5,0,10,19,2,7,0,2,2425
2025-01-15,Union Berlin,Augsburg,0,2,0,2,13,11,2,5,7,4,15,9,1,2,0,0,2425
2025-01-15,Werder Bremen,Heidenheim,3,3,1,1,12,14,5,5,4,2,10,15,5,3,0,0,2425
2025-01-17,Ein Frankfurt,Dortmund,2,0,1,0,13,12,5,3,5,7,8,6,0,2,0,0,2425
2025-01-18,Bayern Munich,Wolfsburg,3,2,2,1,25,7,10,3,6,2,10,9,2,3,0,0,2425
2025-01-18,Bochum,RB Leipzig,3,3,0,3,14,11,3,3,6,3,14,7,4,0,0,0,2425
2025-01-18,Heidenheim,St Pauli,0,2,0,1,8,7,1,4,4,4,11,17,1,2,0,0,2425
2025-01-18,Holstein Kiel,Hoffenheim,1,3,0,2,12,11,3,6,4,3,13,14,2,1,0,0,2425
2025-01-18,Stuttgart,Freiburg,4,0,3,0,12,4,7,0,4,1,8,12,5,3,0,0,2425
2025-01-18,Leverkusen,M'gladbach,3,1,1,0,10,7,5,4,7,6,12,10,0,2,0,0,2425
2025-01-19,Union Berlin,Mainz,2,1,2,1,12,9,4,1,2,2,12,10,2,2,0,0,2425
2025-01-19,Werder Bremen,Augsburg,0,2,0,2,20,9,2,4,6,2,8,14,1,2,0,0,2425
2025-01-24,Wolfsburg,Holstein Kiel,2,2,0,1,22,5,5,2,10,3,9,10,2,4,0,0,2425
2025-01-25,Augsburg,Heidenheim,2,1,1,0,11,11,7,6,6,4,8,9,1,0,0,0,2425
2025-01-25,Dortmund,Werder Bremen,2,2,1,0,8,13,4,4,5,5,11,15,1,4,1,0,2425
2025-01-25,Freiburg,Bayern Munich,1,2,0,1,7,7,2,3,2,4,15,9,4,2,0,0,2425
2025-01-25,Mainz,Stuttgart,2,0,1,0,11,10,4,5,9,2,12,8,4,3,0,0,2425
2025-01-25,RB Leipzig,Leverkusen,2,2,1,2,8,13,4,7,7,3,12,6,0,0,0,0,2425
2025-01-25,M'gladbach,Bochum,3,0,1,0,16,10,6,4,8,7,6,15,1,3,0,0,2425
2025-01-26,Hoffenheim,Ein Frankfurt,2,2,0,1,24,12,8,7,9,3,16,8,3,0,0,0,2425
2025-01-26,St Pauli,Union Berlin,3,0,1,0,16,14,5,2,5,7,6,15,0,3,0,0,2425
2025-01-31,Werder Bremen,Mainz,1,0,1,0,12,13,5,2,3,8,14,13,8,4,3,0,2425
2025-02-01,Bayern Munich,Holstein Kiel,4,3,2,0,29,10,12,6,12,1,7,10,1,1,0,0,2425
2025-02-01,Bochum,Freiburg,0,1,0,1,22,13,4,5,9,7,15,10,3,2,0,0,2425
2025-02-01,Heidenheim,Dortmund,1,2,0,1,11,16,5,5,4,5,11,9,0,0,0,0,2425
2025-02-01,St Pauli,Augsburg,1,1,1,0,5,2,1,1,3,1,16,18,1,3,0,0,2425
2025-02-01,Stuttgart,M'gladbach,1,2,0,1,10,12,3,6,2,0,11,11,2,2,0,0,2425
2025-02-01,Union Berlin,RB Leipzig,0,0,0,0,21,6,6,2,4,5,5,12,3,2,0,0,2425
2025-02-02,Ein Frankfurt,Wolfsburg,1,1,0,0,16,11,4,2,9,1,8,8,1,3,0,0,2425
2025-02-02,Leverkusen,Hoffenheim,3,1,2,0,9,16,5,7,3,3,14,7,4,3,1,0,2425
2025-02-07,Bayern Munich,Werder Bremen,3,0,0,0,21,2,12,0,5,2,9,8,1,3,0,0,2425
2025-02-08,Dortmund,Stuttgart,1,2,0,0,16,4,5,2,9,4,13,14,5,2,1,0,2425
2025-02-08,Freiburg,Heidenheim,1,0,1,0,9,11,3,5,6,3,11,8,3,1,0,0,2425
2025-02-08,Hoffenheim,Union Berlin,0,4,0,1,16,22,4,7,8,4,9,16,2,1,0,0,2425
2025-02-08,Mainz,Augsburg,0,0,0,0,9,9,5,2,1,3,12,9,3,3,0,0,2425
2025-02-08,Wolfsburg,Leverkusen,0,0,0,0,13,15,8,1,3,9,7,8,2,3,0,0,2425
2025-02-08,M'gladbach,Ein Frankfurt,1,1,1,1,8,15,3,7,6,1,10,9,3,3,0,0,2425
2025-02-09,Holstein Kiel,Bochum,2,2,1,2,10,21,3,6,3,5,11,17,2,2,0,0,2425
2025-02-09,RB Leipzig,St Pauli,2,0,2,0,11,7,6,4,5,4,12,8,2,2,1,0,2425
2025-02-14,Augsburg,RB Leipzig,0,0,0,0,11,14,2,4,8,9,12,12,2,1,0,0,2425
2025-02-15,Bochum,Dortmund,2,0,2,0,18,17,9,2,2,8,12,4,1,0,0,0,2425
2025-02-15,St Pauli,Freiburg,0,1,0,0,5,6,1,4,2,6,10,10,1,0,0,0,2425
2025-02-15,Stuttgart,Wolfsburg,1,2,0,0,10,7,4,3,7,5,10,15,3,4,0,0,2425
2025-02-15,Union Berlin,M'gladbach,1,2,0,2,18,9,3,5,4,5,9,8,0,1,0,0,2425
2025-02-15,Leverkusen,Bayern Munich,0,0,0,0,15,2,3,0,6,0,16,13,2,3,0,0,2425
2025-02-16,Werder Bremen,Hoffenheim,1,3,1,2,14,16,1,7,6,4,14,12,2,3,0,0,2425
2025-02-16,Ein Frankfurt,Holstein Kiel,3,1,2,0,20,10,9,4,4,6,16,10,2,0,0,0,2425
2025-02-16,Heidenheim,Mainz,0,2,0,1,12,6,3,5,8,4,9,16,1,3,0,0,2425
2025-02-21,Freiburg,Werder Bremen,5,0,2,0,13,9,8,3,3,7,14,8,3,0,0,0,2425
2025-02-22,Holstein Kiel,Leverkusen,0,2,0,2,4,18,3,8,5,11,11,10,4,1,0,0,2425
2025-02-22,Mainz,St Pauli,2,0,0,0,10,12,5,0,6,5,9,10,3,3,0,0,2425
2025-02-22,M'gladbach,Augsburg,0,3,0,0,8,17,5,4,2,4,10,9,3,2,1,0,2425
2025-02-22,Wolfsburg,Bochum,1,1,0,0,13,11,6,5,3,5,8,15,2,3,0,0,2425
2025-02-22,Dortmund,Union Berlin,6,0,2,0,24,6,8,1,5,3,10,11,2,2,0,0,2425
2025-02-23,RB Leipzig,Heidenheim,2,2,1,2,17,4,6,2,7,4,15,15,3,3,0,0,2425
2025-02-23,Bayern Munich,Ein Frankfurt,4,0,1,0,19,7,12,2,4,1,8,7,1,1,0,0,2425
2025-02-23,Hoffenheim,Stuttgart,1,1,0,1,9,14,2,7,4,8,8,10,0,0,0,0,2425
2025-02-28,Stuttgart,Bayern Munich,1,3,1,1,12,17,3,8,4,6,12,13,5,3,0,0,2425
2025-03-01,Bochum,Hoffenheim,0,1,0,0,12,10,3,2,8,5,16,17,0,1,0,0,2425
2025-03-01,Heidenheim,M'gladbach,0,3,0,2,20,13,5,5,6,2,9,15,2,3,0,0,2425
2025-03-01,RB Leipzig,Mainz,1,2,1,0,13,15,4,3,7,1,8,15,1,1,0,0,2425
2025-03-01,St Pauli,Dortmund,0,2,0,0,7,14,1,3,7,1,11,13,1,2,0,0,2425
2025-03-01,Werder Bremen,Wolfsburg,1,2,0,1,15,9,7,3,8,2,13,9,2,0,0,0,2425
2025-03-01,Ein Frankfurt,Leverkusen,1,4,1,3,7,20,3,9,2,6,9,7,1,1,0,0,2425
2025-03-02,Union Berlin,Holstein Kiel,0,1,0,1,14,10,3,3,11,3,16,12,4,0,0,0,2425
2025-03-02,Augsburg,Freiburg,0,0,0,0,13,7,5,3,5,2,13,9,1,1,0,0,2425
2025-03-07,M'gladbach,Mainz,1,3,0,1,12,16,4,8,4,3,6,6,0,1,0,0,2425
2025-03-08,Bayern Munich,Bochum,2,3,2,1,14,8,5,5,9,3,7,14,0,6,1,0,2425
2025-03-08,Dortmund,Augsburg,0,1,0,1,14,6,1,1,12,3,6,12,1,4,0,0,2425
2025-03-08,Holstein Kiel,Stuttgart,2,2,1,1,17,5,5,2,3,1,8,9,1,2,1,0,2425
2025-03-08,Leverkusen,Werder Bremen,0,2,0,1,18,11,4,7,10,3,12,10,4,4,0,0,2425
2025-03-08,Wolfsburg,St Pauli,1,1,0,1,16,14,4,4,6,6,11,13,1,0,0,0,2425
2025-03-08,Freiburg,RB Leipzig,0,0,0,0,10,18,2,3,2,6,6,11,0,3,0,0,2425
2025-03-09,Ein Frankfurt,Union Berlin,1,2,1,0,14,11,3,3,1,5,10,8,3,0,0,0,2425
2025-03-09,Hoffenheim,Heidenheim,1,1,1,0,16,23,3,5,6,4,9,11,2,3,0,0,2425
2025-03-14,St Pauli,Hoffenheim,1,0,0,0,10,4,5,0,11,2,6,8,0,1,0,0,2425
2025-03-15,Augsburg,Wolfsburg,1,0,0,0,9,13,2,2,1,4,7,9,1,2,0,0,2425
2025-03-15,Mainz,Freiburg,2,2,1,0,9,24,4,8,1,4,7,7,1,2,1,0,2425
2025-03-15,Union Berlin,Bayern Munich,1,1,0,0,7,18,3,4,2,14,13,8,1,2,0,0,2425
2025-03-15,Werder Bremen,M'gladbach,2,4,2,2,23,13,2,7,4,1,10,7,1,2,0,1,2425
2025-03-15,RB Leipzig,Dortmund,2,0,1,0,15,25,5,9,3,12,14,10,3,3,0,0,2425
2025-03-16,Bochum,Ein Frankfurt,1,3,0,2,17,18,7,7,8,3,7,9,4,1,0,0,2425
2025-03-16,Heidenheim,Holstein Kiel,3,1,1,0,14,16,5,4,3,5,15,13,1,3,0,0,2425
2025-03-16,Stuttgart,Leverkusen,3,4,1,0,11,16,6,4,1,10,13,14,3,2,0,0,2425
2025-03-28,Leverkusen,Bochum,3,1,1,1,14,8,5,3,3,2,6,12,0,1,0,0,2425
2025-03-29,Bayern Munich,St Pauli,3,2,1,1,19,10,9,4,5,4,13,4,3,0,0,0,2425
2025-03-29,Hoffenheim,Augsburg,1,1,0,0,13,11,4,4,2,2,14,12,1,2,0,0,2425
2025-03-29,Holstein Kiel,Werder Bremen,0,3,0,1,11,14,0,7,3,4,13,8,4,1,0,0,2425
2025-03-29,M'gladbach,RB Leipzig,1,0,0,0,16,19,3,3,5,8,5,9,2,2,0,0,2425
2025-03-29,Wolfsburg,Heidenheim,0,1,0,1,11,11,2,4,4,5,8,10,2,4,0,0,2425
